Dataset,Study Region,Project,Camera_Site,Othername,Easting,Northing
11/12,,,12,,641580,5625184
11/12,,,13,,651121,5628750
11/12,,,14,,670723,5626480
11/12,,,16,,621626,5610327
11/12,,,17,,630896,5617055
11/12,,,17NW,,627339,5618598
11/12,,,17SE,,636562,5612460
11/12,,,17SW,,627995,5611714
11/12,,,18,,641923,5619045
11/12,,,19,,650781,5620026
11/12,,,20,,664402,5614518
11/12,,,21,,677054,5612204
11/12,,,22,,628993,5608309
11/12,,,22S,,628419,5608292
11/12,,,23,,642327,5607183
11/12,,,23S,,642474,5635995
11/12,,,24,,653094,5598585
11/12,,,24S,,653060,5598661
11/12,,,25,,668844,5599917
11/12,,,26,,674555,5602305
11/12,,,27,,656619,5593752
11/12,,,28,,663093,5586612
11/12,,,29,,671373,5593533
11/12,,,31,,664997,5576373
11/12,,,32,,672708,5574187
11/12,,,33,,666337,5570413
11/12,,,34,,671843,5566058
11/12,,,10A,,621085,5626144
11/12,,,27A,,647909,5594609
11/12,,,2A,,633159,5648761
11/12,,,W342,Cell 6-2,622569,5694474
11/12,,,W345,Cell 6-3,630176,5693527
11/12,,,W393,Cell 7-1,611686,5702106
11/12,,,W338,Cell 6-1,610153,5692260
11/12,,,W387,Cell 7-0,598151,5709787
11/12,,,W440,Cell 8-0,596147,5718149
11/12,,,W441,Cell 9-0,600734,5728481
11/12,,,W445,Cell 8-1,614289,5723453
11/12,,,W500,Cell 9-1,608890,5732510
11/12,,,W287,Cell 5-2,618086,5686871
11/12,,,W295,Cell 5-3,632224,5680067
