"site","radius","Road_Hard Surface","Road_Vegetated Verge","Seismic line","Cut Blocks","Road_Trail (Vegetated)","Well Site","Reservoirs","Transmission Line","Pipeline","Rural (Residential_Industrial)","Other Disturbed Vegetation","Cultivation (Crop_Pasture/Bare Ground)","Borrow-Pits_Dugouts/Sumps","Canals","Industrial Site Rural","Road – Hard Surface","Road – Vegetated Verge","Rail – Hard Surface","Rail – Vegetated Verge","Mine Site","Rail_Hard Surface","Rail_Vegetated Verge","Urban","High Density Livestock Operation","Municipal (Water and Sewage)","dense_conifer","moderate_conifer","open_conifer","mixed","herb","snow_or_ice","shrub","barren","water","broadleaf","cloud_or_no_data","treed_wetland","agriculture","open_wetland","shadow_or_no_data","unknown","mean_ndvi_2008","mean_ndvi_2012","mean_tri"
"Cell R80",5750,0.2,0.29,0.16,0.03,0.03,0,12.36,0.12,0,0.14,0.34,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,15.64443562,18.47443208,6.989339615,0.089844761,8.583407625,12.13311173,2.34452719,0,35.48424529,0.014730106,0.24190195,0,0,0,0,0,4956.71701,4694.584021,3.928466871
"Cell R80",6000,0.25,0.35,0.16,0.03,0.03,0,11.54,0.16,0,0.18,0.31,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,16.02590284,19.02737416,7.0680166,0.089922543,8.167327493,11.34518805,2.341078906,0,35.67995433,0.01352817,0.241683715,0,0,0,0,0,4958.674551,4729.955061,3.884145988
"Cell R80",6250,0.25,0.36,0.16,0.03,0.03,0,10.81,0.17,0,0.19,0.32,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,16.35546879,19.82082511,7.072837036,0.108417859,7.772601141,10.65155335,2.343052221,0,35.63833857,0.012467562,0.224416109,0,0,0,0,0,4961.685466,4748.503254,3.864452878
"Cell R80",6500,0.27,0.38,0.17,0.03,0.04,0,10.14,0.17,0,0.17,0.43,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,16.56849672,20.39101508,7.075055208,0.120676442,7.431536814,10.01699533,2.274697172,0,35.9024946,0.011526962,0.207485308,0,0,0,0,0,4945.891881,4758.788585,3.871280068
"Cell R80",6750,0.28,0.39,0.17,0.03,0.05,0,9.53,0.17,0,0.17,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7642193,20.62022341,6.943752954,0.118206931,7.355919926,9.446136332,2.243696192,0,36.30473566,0.010688925,0.192400642,0,0,0,0,0,4933.772086,4772.047884,3.870468866
"Cell R80",7000,0.28,0.4,0.18,0.02,0.05,0,8.96,0.17,0,0.16,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.86574221,20.81989698,6.794879845,0.113824551,7.27990663,8.904919101,2.229833644,0,36.79400145,0.009939064,0.187037661,0,0,0,0,0,4927.923744,4792.526863,3.852729327
"Cell R80",7250,0.27,0.38,0.19,0.02,0.05,0,8.42,0.17,0,0.15,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.126613,21.07465481,6.756154209,0.113508709,7.15048254,8.3382739,2.1599065,0,37.08392368,0.010900505,0.185564286,0,0,0,0,0,4914.949469,4816.526875,3.830405395
"Cell R80",750,0,0,0.06,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.51762842,29.70608048,6.806732494,0.674996983,4.661658982,3.710569813,7.013012755,0,9.85822115,0.050929582,0,0,0,0,0,0,7211.2,7175.542857,1.702029907
"Cell R80",7500,0.25,0.36,0.19,0.02,0.05,0,7.95,0.17,0,0.14,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.33187709,21.38094081,6.693930885,0.118101254,6.957621347,7.857050682,2.183065272,0,37.26136354,0.010185916,0.205845626,0,0,0,0,0,4908.201508,4843.579789,3.810760954
"Cell R80",7750,0.24,0.35,0.2,0.02,0.05,0,7.51,0.17,0,0.13,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48741866,21.53614047,6.589232882,0.138299453,6.812591918,7.445274332,2.227904914,0,37.52958261,0.010493296,0.223044322,0,0,0,0,0,4894.657828,4865.68914,3.783442393
"Cell R80",8000,0.24,0.36,0.2,0.02,0.04,0,7.12,0.17,0,0.12,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.64008332,21.69821785,6.512442397,0.148035408,6.647903887,7.097448113,2.23139436,0,37.76628563,0.010743088,0.247429187,0,0,0,0,0,4897.085851,4897.54849,3.756287904
"Cell R80",8250,0.25,0.37,0.2,0.02,0.04,0,6.74,0.17,0,0.11,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7915214,21.81648706,6.464390585,0.151514703,6.508728969,6.7298006,2.226111461,0,38.05509823,0.012206263,0.244125268,0,0,0,0,0,4902.939356,4926.281507,3.735552088
"Cell R80",8500,0.25,0.38,0,0.02,0.04,0,6.38,0,0,0.11,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.97508404,22.01729259,6.45867621,0.168615183,6.485415662,6.384696188,2.248128078,0,38.0193245,0.01277589,0.229976139,0,0,0,0,0,4930.589563,4966.167842,3.709750862
"Cell R81",1000,0,0,0.99,0,0.45,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.30142387,22.54519893,3.622661755,0.085943669,1.375098708,0,0.617578276,0,3.451968541,0,0,0,0,0,0,0,7364.816667,7802.316667,0.956691844
"Cell R81",1250,0,0,0.88,0,0.35,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.99008198,22.34203644,3.489255825,0.129265536,0.880063173,0,0.984232736,0,4.184954176,0,0,0,0,0,0,0,7532.978495,7818.860215,0.989959563
"Cell R81",1500,0,0,0.87,0,0.29,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.00063048,22.86429183,3.396350887,0.165521141,0.611154981,0,1.578754157,0,5.383211136,0,0,0,0,0,0,0,7589.939394,7840.886364,1.026989166
"Cell R81",1750,0,0,0.77,0,0.24,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.69093375,22.40077022,2.956887717,0.159025021,0.666428453,0,1.532552714,0,4.593328469,0,0,0,0,0,0,0,7586.197802,7832,1.110085096
"Cell R81",2000,0,0,0.7,0,0.21,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.12688747,23.0630807,2.961287092,0.136077476,0.822426539,0,1.906392432,0,3.98377625,0,0,0,0,0,0,0,7566.487179,7814.811966,1.238058756
"Cell R81",2250,0,0,0.62,0,0.18,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.38675447,24.13543622,2.883672029,0.118835691,1.121968788,0,1.830248221,0,3.523028984,0,0,0,0,0,0,0,7510.913043,7760.093645,1.401976553
"Cell R81",250,0,0,2.82,0,2.56,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.55580355,40.20411378,13.23947867,0,0,0,0,0,0,0,0,0,0,0,0,0,6884,7745.333333,0.443322871
