"Site","Easting","Northing","start_date","end_date"
"Cell 9 SW 2013",616087,5641079,2012-10-12,"2012-12-09"
"Cell 9 SW 2013",616087,5641079,2013-04-25,"2013-05-22"
"Cell 9 SW 2013",616087,5641079,2013-05-22,"2013-06-08"
"Cell 9 SW 2013",616087,5641079,2013-07-26,"2013-08-21"
"Cell 9 SW 2013",616087,5641079,2013-08-21,"2013-09-09"
"Cell 9 SW 2013",616087,5641079,2013-09-26,"2013-10-03"
"Cell 9 SW 2013",616087,5641079,2013-10-24,"2013-12-02"
"Cell 9 SW 2013",616087,5641079,2012-07-05,"2012-07-13"
"Cell 9 SW 2013",616087,5641079,2012-08-09,"2012-10-12"
"Cell R1",609567,5665678,2014-06-04,"2014-07-04"
"Cell R1",609567,5665678,2014-07-04,"2014-08-05"
"Cell R1",609567,5665678,2014-08-05,"2014-09-11"
"Cell R1",609567,5665678,2014-09-11,"2014-10-10"
"Cell R1",609567,5665678,2014-10-10,"2014-11-04"
"Cell R10",645616,5653075,2013-11-25,"2014-05-22"
"Cell R10",645616,5653075,2014-05-22,"2014-05-28"
"Cell R10",645616,5653075,2014-06-26,"2014-08-02"
"Cell R10",645616,5653075,2014-08-02,"2014-08-29"
"Cell R10",645616,5653075,2014-09-26,"2014-10-28"
"Cell R100",671372,5593531,2012-03-16,"2012-03-31"
"Cell R100",671372,5593531,2012-04-20,"2012-06-04"
"Cell R100",671372,5593531,2013-11-01,"2014-06-20"
"Cell R100",671372,5593531,2014-06-20,"2014-07-19"
"Cell R100",671372,5593531,2014-07-19,"2014-08-22"
"Cell R100",671372,5593531,2014-08-22,"2014-09-22"
"Cell R100",671372,5593531,2014-09-22,"2014-10-29"
"Cell R100",671372,5593531,2012-09-27,"2012-12-20"
"Cell R100",671372,5593531,2012-06-07,"2012-06-23"
"Cell R100",671372,5593531,2012-02-09,"2012-02-13"
"Cell R100",671372,5593531,2012-01-09,"2012-01-27"
"Cell R101",674712,5594608,2014-06-20,"2014-07-19"
"Cell R101",674712,5594608,2014-07-19,"2014-08-06"
"Cell R101",674712,5594608,2014-07-19,"2014-08-22"
"Cell R101",674712,5594608,2014-08-22,"2014-08-22"
"Cell R101",674712,5594608,2014-08-22,"2014-09-22"
"Cell R101",674712,5594608,2014-09-22,"2014-10-29"
"Cell R104",658105,5584900,2014-06-21,"2014-07-31"
"Cell R104",658105,5584900,2014-07-31,"2014-08-16"
"Cell R104",658105,5584900,2014-08-28,"2014-09-28"
"Cell R104",658105,5584900,2014-09-28,"2014-10-30"
"Cell R105",663093,5586614,2012-01-20,"2012-02-13"
"Cell R105",663093,5586614,2014-05-07,"2014-06-12"
"Cell R105",663093,5586614,2014-06-12,"2014-07-11"
"Cell R105",663093,5586614,2014-07-11,"2014-08-14"
"Cell R105",663093,5586614,2014-08-14,"2014-09-15"
"Cell R105",663093,5586614,2014-09-15,"2014-10-09"
"Cell R105",663093,5586614,2014-10-09,"2014-11-18"
"Cell R105",663093,5586614,2012-06-03,"2012-06-21"
"Cell R105",663093,5586614,2012-03-28,"2012-04-29"
"Cell R105",663093,5586614,2012-02-04,"2012-03-20"
"Cell R105",663093,5586614,2012-07-05,"2012-08-02"
"Cell R105",663093,5586614,2012-05-06,"2012-05-20"
"Cell R105",663093,5586614,2012-08-07,"2012-09-05"
"Cell R105",663093,5586614,2011-12-07,"2012-01-13"
"Cell R106",668334,5584964,2014-07-12,"2014-08-13"
"Cell R106",668334,5584964,2014-08-13,"2014-09-15"
"Cell R106",668334,5584964,2014-09-15,"2014-10-09"
"Cell R106",668334,5584964,2014-10-09,"2014-11-18"
"Cell R107",679055,5582938,2014-06-19,"2014-07-30"
"Cell R107",679055,5582938,2014-07-30,"2014-09-01"
"Cell R107",679055,5582938,2014-09-01,"2014-10-08"
"Cell R107",679055,5582938,2014-10-08,"2014-10-31"
"Cell R107",679055,5582938,2014-10-31,"2014-12-04"
"Cell R11",656028,5654950,2014-05-15,"2014-06-21"
"Cell R11",656028,5654950,2014-06-28,"2014-07-28"
