CAMERA,RADIUS,NCELLS,AREA,MIN,MAX,RANGE,MEAN,STD
Cell 28 2013,4750,1333,71561958.37,700,9569,8869,4361.459865,2381.031906
Cell 29 2013,4750,1329,71347218.81,1506,9211,7705,6749.835214,1395.356593
Cell 3 NE 2013,4750,1328,71293533.92,-384,8813,9197,7265.493223,1078.994954
Cell 3 NW 2013,4750,1330,71400903.7,-2000,8830,10830,6612.113534,1593.392871
Cell 30 2013,4750,1332,71508273.48,6786,8772,1986,7979.122372,337.4212254
Cell 31 2013,4750,1330,71400903.7,5610,8925,3315,8216.079699,416.3214323
Cell 32 2013,4750,1332,71508273.48,5823,8982,3159,8218.439189,416.6553062
Cell 33 NE 2013,4750,1332,71508273.48,258,9971,9713,6401.417417,2222.700751
Cell 33 SE 2013,4750,1327,71239849.03,-1894,9795,11689,5073.423512,2705.069805
Cell 33 SW 2013,4750,1329,71347218.81,-506,9859,10365,4634.6155,2880.065443
Cell 34 N 2013,4750,1330,71400903.7,-471,8825,9296,6607.142857,1793.75496
Cell 34 NW 2013,4750,1328,71293533.92,-471,9366,9837,6873.146084,1598.771543
Cell 34 SE 2013,4750,1330,71400903.7,-573,9509,10082,6431.453383,2047.781578
Cell 35 2013,4750,1331,71454588.59,854,9982,9128,4636.844478,2702.846092
Cell 37 2013,4750,1331,71454588.59,6008,9288,3280,7755.396694,333.8006785
Cell 38 2013,4750,1328,71293533.92,6613,9040,2427,8215.859187,298.0489881
Cell 39 2013,4750,1330,71400903.7,6692,9004,2312,8358.032331,292.3277278
Cell 4 2013,4750,1330,71400903.7,4531,8716,4185,7470.285714,507.0128526
Cell 40 NE 2013,4750,1332,71508273.48,-1894,9795,11689,4761.536787,2698.464365
Cell 41 N 2013,4750,1328,71293533.92,-1894,9615,11509,6437.637048,2278.678092
Cell 41 NW 2013,4750,1332,71508273.48,-1894,9795,11689,5590.632132,2703.796007
Cell 42 NW 2013,4750,1327,71239849.03,-10,9874,9884,4764.588546,2729.940474
Cell 43 2013,4750,1331,71454588.59,1376,9260,7884,6225.123216,2012.406645
Cell 44 2013,4750,1331,71454588.59,5286,8714,3428,7518.917355,482.0625195
Cell 45 2013,4750,1336,71723013.04,6199,8547,2348,7794.573353,365.3768508
Cell 47 2013,4750,1330,71400903.7,784,9694,8910,6319.567669,2155.712429
Cell 48 2013,4750,1332,71508273.48,1032,8860,7828,6948.177928,1783.393088
Cell 49 2013,4750,1332,71508273.48,1626,9040,7414,6941.612613,1352.482306
Cell 5 2011/12 Summer,4750,1327,71239849.03,-1875,8967,10842,6501.787491,2057.754833
Cell 5 2013,4750,1329,71347218.81,4772,8830,4058,7906.887886,597.8825631
Cell 50 2013,4750,1329,71347218.81,1810,8711,6901,7436.702032,991.4436677
Cell 51 2013,4750,1334,71615643.26,6188,8796,2608,7965.609445,421.7076848
Cell 52 2013,4750,1331,71454588.59,1402,8506,7104,7367.071375,1236.855248
Cell 53 2013,4750,1333,71561958.37,1486,8367,6881,7368.339085,959.4414584
Cell 54 2013,4750,1333,71561958.37,5832,8961,3129,7984.694674,569.584191
Cell 55 2013,4750,1330,71400903.7,6068,8870,2802,7964.079699,528.8866072
